Date,Open,High,Low,Close,Adj Close,Volume
2018-04-30,101.269997,101.519997,99.889999,100.080002,91.599525,3787200
2018-05-01,98.099998,98.099998,96.139999,97.589996,91.588249,2882800
2018-05-02,97.180000,97.180000,94.570000,94.680000,88.857216,6471600
2018-05-03,96.290001,97.070000,96.209999,96.620003,90.677902,4498000
2018-05-04,97.349998,98.099998,96.959999,97.440002,91.447487,3615300
2018-05-07,97.699997,97.889999,97.379997,97.639999,91.635178,1406100
2018-05-08,97.889999,98.239998,96.970001,98.239998,92.198265,1952100
2018-05-09,101.190002,101.709999,97.570000,97.930000,91.907341,3763600
2018-05-10,95.500000,95.690002,94.419998,95.400002,89.532936,4196000
2018-05-11,95.419998,95.849998,94.540001,95.059998,89.213844,1941900
2018-05-14,96.300003,96.430000,95.349998,95.480003,89.608017,2874500
2018-05-15,93.370003,94.099998,92.970001,93.589996,87.834251,2817200
2018-05-16,93.639999,94.089996,93.639999,93.930000,88.153351,1333000
2018-05-17,95.099998,95.139999,94.050003,94.419998,88.613213,1864600
2018-05-18,95.139999,95.180000,94.050003,94.300003,88.500595,1632300
2018-05-21,94.510002,94.650002,93.949997,94.199997,88.406738,2700100
2018-05-22,95.760002,95.870003,94.639999,94.930000,89.091843,3011800
2018-05-23,94.400002,94.860001,94.110001,94.769997,88.941681,2736900
2018-05-24,95.430000,95.860001,95.000000,95.750000,89.861404,1688300
2018-05-25,94.269997,95.059998,94.230003,94.720001,88.894760,1883400
2018-05-29,92.820000,93.330002,91.699997,92.339996,86.661133,3130000
2018-05-30,94.129997,94.279999,93.029999,94.150002,88.359818,1955300
2018-05-31,94.660004,94.690002,93.099998,93.589996,87.834251,2063000
2018-06-01,94.440002,94.570000,92.830002,93.419998,87.674698,2048900
2018-06-04,96.750000,96.750000,96.089996,96.279999,90.358818,2477200
2018-06-05,96.699997,96.730003,94.870003,95.139999,89.288925,1965400
2018-06-06,94.779999,94.919998,94.239998,94.870003,89.035530,1763100
2018-06-07,94.500000,94.650002,93.599998,93.959999,88.181496,3119800
2018-06-08,94.019997,94.750000,93.889999,94.669998,88.847832,1011800
2018-06-11,95.930000,97.129997,95.750000,96.930000,90.968842,1914400
2018-06-12,97.739998,98.110001,97.330002,97.650002,91.644569,1304800
2018-06-13,98.480003,98.639999,97.239998,97.800003,91.785339,1376900
2018-06-14,98.099998,98.269997,97.339996,97.370003,91.381783,1302400
2018-06-15,99.180000,99.180000,98.000000,98.529999,92.470436,1561500
2018-06-18,96.980003,97.019997,95.839996,96.599998,90.659134,1780700
2018-06-19,95.349998,96.510002,95.250000,96.419998,90.490211,1168900
2018-06-20,97.199997,97.250000,96.419998,96.800003,90.846848,1727800
2018-06-21,97.900002,97.980003,97.110001,97.290001,91.306709,1312400
2018-06-22,98.489998,99.360001,98.389999,99.129997,93.033546,1993700
2018-06-25,98.989998,99.169998,97.309998,97.830002,91.813492,1437900
2018-06-26,97.540001,98.580002,96.870003,98.410004,92.357834,2189100
2018-06-27,98.000000,98.879997,97.699997,97.739998,91.729019,1670500
2018-06-28,98.199997,99.279999,98.160004,99.169998,93.071075,1202700
2018-06-29,100.660004,101.290001,100.279999,100.760002,94.563301,2155500
2018-07-02,100.349998,100.739998,99.879997,100.599998,94.413132,1265200
2018-07-03,101.769997,101.940002,101.269997,101.430000,95.192101,789600
2018-07-05,102.260002,102.440002,101.690002,102.419998,96.121208,1118800
2018-07-06,104.250000,104.400002,103.580002,103.839996,97.453865,1506700
2018-07-09,104.500000,104.559998,103.709999,103.809998,97.425713,1120200
2018-07-10,103.220001,104.000000,102.860001,103.889999,97.500809,779900
2018-07-11,104.169998,104.379997,102.930000,103.059998,96.721840,978300
2018-07-12,103.309998,103.739998,103.160004,103.410004,97.050331,1362100
2018-07-13,103.580002,103.989998,103.449997,103.919998,97.528969,698400
2018-07-16,104.180000,104.209999,103.260002,103.419998,97.059715,514900
2018-07-17,102.779999,103.260002,102.620003,102.750000,96.430908,821600
2018-07-18,102.889999,102.980003,102.370003,102.480003,96.177521,834600
2018-07-19,102.330002,103.599998,102.320000,103.529999,97.162941,1674400
2018-07-20,105.000000,105.080002,104.410004,104.620003,98.185913,1544200
2018-07-23,105.279999,105.370003,104.669998,104.889999,98.439308,1429500
2018-07-24,105.250000,105.269997,104.379997,104.970001,98.514397,1256500
2018-07-25,105.889999,106.860001,105.660004,106.730003,100.166145,1432200
2018-07-26,101.650002,102.480003,101.239998,101.370003,95.135796,2814700
2018-07-27,101.699997,102.220001,101.379997,101.750000,95.492409,1403000
2018-07-30,101.330002,101.540001,100.779999,101.269997,95.041939,1444400
2018-07-31,101.160004,101.820000,101.139999,101.720001,95.464249,1242400
2018-08-01,100.790001,101.410004,100.709999,101.160004,94.938698,927500
2018-08-02,100.480003,100.860001,99.550003,100.430000,94.253593,1430200
2018-08-03,100.089996,100.980003,99.919998,100.639999,94.450684,1151200
2018-08-06,100.239998,100.620003,99.879997,99.980003,93.831268,1021600
2018-08-07,100.680000,101.000000,100.459999,100.750000,94.553925,522800
2018-08-08,100.010002,100.180000,99.489998,99.529999,93.408943,873100
2018-08-09,100.019997,100.339996,99.529999,99.709999,93.577881,639400
2018-08-10,97.220001,97.650002,95.930000,96.430000,90.499588,1931100
2018-08-13,96.620003,96.730003,96.150002,96.400002,90.471436,1141600
2018-08-14,97.839996,98.099998,97.339996,97.709999,91.700874,1020900
2018-08-15,97.150002,98.529999,96.860001,98.379997,92.329674,1077700
2018-08-16,98.360001,99.000000,98.269997,98.470001,92.414131,778100
2018-08-17,98.889999,100.220001,98.820000,99.860001,93.718651,1616600
2018-08-20,99.949997,100.139999,99.190002,99.400002,93.286934,743000
2018-08-21,101.320000,101.449997,99.989998,100.220001,94.056519,2699800
2018-08-22,99.820000,99.879997,98.360001,98.470001,92.414131,1976200
2018-08-23,97.889999,98.300003,97.610001,97.800003,91.785339,720600
2018-08-24,98.489998,98.550003,98.070000,98.209999,92.170120,844200
2018-08-27,98.769997,98.910004,98.199997,98.680000,92.611214,1152700
2018-08-28,99.339996,99.349998,97.860001,97.989998,91.963646,957400
2018-08-29,97.980003,98.180000,97.790001,97.949997,91.926109,979100
2018-08-30,96.180000,96.449997,95.260002,95.589996,89.711250,1772600
2018-08-31,93.870003,94.320000,92.650002,93.230003,87.496391,1931300
2018-09-04,92.070000,92.540001,91.760002,91.959999,86.304497,1992100
2018-09-05,90.480003,91.129997,90.129997,90.900002,85.309677,1916000
2018-09-06,90.519997,90.809998,89.930000,90.230003,84.680893,1895200
2018-09-07,88.849998,90.470001,88.489998,89.739998,84.221031,4147600
2018-09-10,90.000000,90.389999,89.519997,89.879997,84.352409,1427600
2018-09-11,88.570000,89.120003,87.900002,88.019997,82.606796,3062000
2018-09-12,87.739998,88.489998,87.320000,88.129997,82.710037,2527900
2018-09-13,89.360001,89.690002,88.760002,89.349998,83.855011,2626100
2018-09-14,89.620003,89.889999,88.580002,89.290001,83.798706,1569900
2018-09-17,89.330002,89.849998,89.230003,89.800003,84.277336,1231500
2018-09-18,90.220001,90.650002,89.709999,90.160004,84.615204,1595000
2018-09-19,89.510002,90.300003,89.220001,89.930000,84.399345,1834100
2018-09-20,92.029999,92.220001,91.379997,91.930000,86.276344,1912700
2018-09-21,92.379997,92.720001,91.500000,92.040001,86.379578,1813700
2018-09-24,90.769997,91.010002,90.389999,90.510002,84.943680,1082100
2018-09-25,90.739998,90.919998,90.410004,90.510002,84.943680,1370000
2018-09-26,90.379997,90.419998,89.599998,89.669998,84.155334,1587000
2018-09-27,88.779999,88.910004,88.000000,88.099998,82.681892,2458300
2018-09-28,87.379997,87.769997,87.150002,87.570000,82.184479,2053300
2018-10-01,86.800003,87.070000,86.279999,86.540001,81.217827,1579800
2018-10-02,85.440002,86.080002,85.139999,85.820000,80.542107,2150100
2018-10-03,88.089996,88.900002,87.510002,87.610001,82.222023,2188900
2018-10-04,87.410004,87.440002,86.669998,87.059998,81.705849,1583600
